word,rank,sentence_count
sex,794,16
decided,795,240
kept,796,657
choice,797,73
type,798,18
c,799,27
election,800,11
interesting,801,154
note,802,152
ones,803,270
add,804,38
difference,805,129
speak,806,542
somebody,809,204
moving,810,90
led,811,311
write,812,290
b,814,36
knowledge,815,91
giving,816,153
bed,817,861
response,818,21
increase,819,11
de,822,114
sent,824,554
eat,826,701
china,827,59
despite,828,24
played,829,180
deep,830,329
stories,831,161
due,832,54
paul,833,335
offer,834,118
changed,835,230
beginning,836,263
begin,837,273
training,838,30
blue,839,597
st,840,199
approach,841,24
foreign,842,44
seven,843,228
performance,844,37
won,845,148
worth,847,275
floor,849,249
lower,850,87
miles,851,168
main,852,64
consider,853,71
picture,854,210
mark,855,156
kid,857,16
huge,858,113
supposed,859,102
hi,860,23
staff,861,45
physical,862,22
waiting,864,350
growth,865,14
cold,866,512
sit,867,430
written,868,187
expected,869,242
perfect,871,138
career,874,17
piece,875,253
watching,876,285
created,877,13
star,878,100
chief,879,98
sign,881,160
ability,882,10
teacher,883,145
doctor,885,501
amount,886,31
die,887,363
follow,888,278
pick,889,143
quality,890,14
learned,894,246
clearly,895,57
considered,896,113
page,897,99
telling,898,209
seeing,899,288
subject,900,108
paid,902,162
design,905,19
behavior,906,10
families,908,25
century,909,15
cover,910,91
attack,911,27
particularly,912,59
completely,913,64
eight,914,138
boys,915,709
numbers,916,15
fear,917,528
allow,918,94
success,919,131
hospital,921,33
calls,922,75
justice,923,63
save,924,265
bank,926,233
growing,927,192
member,928,37
james,929,131
cool,931,127
opportunity,932,56
size,933,63
expect,934,246
pass,937,224
treatment,939,17
trade,941,50
below,942,204
wish,943,908
sleep,945,532
spend,946,138
various,948,49
received,949,133
sun,950,602
trump,951,13
ten,952,355
j,953,19
nobody,954,546
romney,955,24
lose,956,215
dog,957,477
absolutely,958,38
safe,959,362
events,961,34
message,962,74
trust,964,187
married,965,564
anyway,966,186
effort,967,67
allowed,968,130
store,969,123
eye,970,383
judge,972,86
added,973,419
except,974,366
happens,975,81
plans,979,75
build,980,99
minute,981,436
rules,982,29
places,983,174
event,985,22
pain,986,223
image,987,36
indeed,988,669
necessary,989,95
hurt,990,368
term,991,28
sitting,992,635
fast,993,506
understanding,994,41
passed,995,525
committee,996,13
send,997,329
movement,998,33
original,1000,26
older,1001,138
religious,1002,24
source,1003,10
provided,1004,19
showed,1005,219
l,1006,21
jack,1007,564
starting,1009,48
helped,1010,171
none,1011,410
ideas,1012,35
union,1013,15
management,1014,11
address,1015,43
israel,1016,18
greater,1018,91
box,1019,264
sounds,1020,114
english,1021,149
range,1022,11
addition,1024,10
built,1025,128
gun,1027,156
tomorrow,1028,163
positive,1029,20
character,1030,63
complete,1031,41
content,1033,131
politics,1034,31
march,1038,215
meant,1039,477
born,1040,248
reality,1041,20
popular,1042,26
sister,1043,457
lack,1044,51
date,1046,25
credit,1047,51
robert,1048,108
trouble,1049,626
army,1050,66
sunday,1051,246
standing,1052,343
loss,1053,72
peace,1054,190
ball,1055,152
visit,1056,217
asking,1058,142
window,1059,596
throughout,1060,31
required,1061,21
account,1062,144
e,1063,48
district,1064,12
arms,1065,401
respect,1066,121
leaving,1067,232
scene,1068,125
therefore,1069,162
straight,1070,451
river,1071,474
search,1072,142
june,1073,58
loved,1076,448
ran,1077,776
lived,1078,601
disease,1079,17
reasons,1080,27
unless,1081,195
friday,1082,40
nor,1083,505
rock,1086,287
r,1087,52
daily,1089,60
reach,1090,171
stopped,1091,501
worse,1092,336
reports,1093,11
hello,1094,26
worry,1095,165
welcome,1096,176
heat,1098,53
followed,1099,452
lines,1100,59
related,1101,23
gives,1104,70
november,1105,46
coach,1106,36
forget,1107,436
explain,1109,88
marriage,1110,160
dollars,1111,92
statement,1112,12
onto,1114,16
fair,1115,343
weight,1118,60
crazy,1119,95
conditions,1120,14
song,1123,168
spending,1124,21
brain,1126,41
calling,1127,147
parts,1128,58
imagine,1129,189
favorite,1130,86
dinner,1131,508
professional,1132,11
tom,1134,574
caught,1135,573
professor,1136,72
july,1137,23
stage,1138,36
rich,1140,262
cup,1141,125
club,1142,91
teaching,1143,67
hate,1146,176
named,1147,67
modern,1148,17
violence,1153,12
mine,1154,449
stood,1155,865
talked,1157,291
leader,1158,43
efforts,1159,33
comment,1160,13
whom,1161,421
base,1162,14
crime,1163,27
wonder,1164,540
civil,1166,29
fish,1168,353
speech,1171,130
raised,1172,121
beat,1175,175
safety,1179,54
freedom,1180,55
opened,1181,395
clean,1182,215
bob,1183,93
letter,1184,459
eventually,1185,20
shut,1186,350
thousands,1187,25
increased,1188,20
bottom,1189,163
immediately,1191,113
walked,1192,555
player,1195,11
female,1196,10
protect,1197,24
europe,1198,41
skin,1199,151
interview,1205,34
sea,1207,595
october,1208,46
continued,1210,217
officer,1211,30
property,1212,40
holding,1213,147
touch,1214,147
developed,1215,14
effective,1217,12
island,1218,216
smith,1219,56
mouth,1220,433
interested,1221,114
previous,1223,24
directly,1226,66
afraid,1227,814
choose,1228,126
faith,1229,443
laws,1231,36
western,1232,37
dream,1233,338
ice,1234,116
la,1235,19
sell,1236,106
turns,1238,46
hall,1239,325
rule,1240,82
evening,1241,821
successful,1242,32
joe,1244,361
senior,1247,20
leading,1248,52
challenge,1249,12
suddenly,1250,565
saturday,1252,74
serve,1253,77
anybody,1255,321
willing,1256,111
reached,1258,547
critical,1259,13
council,1260,38
christian,1262,72
putting,1263,141
